cid,list_id,company,position,office,office_state,job_type
c298,f1000_126,Sears,Software Engineer III,Hoffman Estates,IL,computer_science
c299,nasdaq_SEND,SendGrid,Software Development Engineer in Test,Denver,CO,computer_science
c300,forbes_45,ServiceTitan,Software Engineer,Los Angeles,CA,computer_science
c301,f1000_235,Sherwin-Williams,Junior Java Developer,Cleveland,OH,computer_science
c302,ru_SBGI,Sinclair Broadcast,Senior Software Development Engineer,Seattle,WA,computer_science
c303,f1000_768,Sinclair Broadcast Group,Senior Software Development Engineer,Seattle,WA,computer_science
c304,nasdaq_SNAP,Snap,Senior Back-end Engineer,Austin,TX,computer_science
c305,forbes_16,Snowflake,Senior Software Engineer,Seattle,WA,computer_science
c306,f1000_137,Southwest Airlines,Sr Software Engineer,Dallas,TX,computer_science
c307,glassdoor_97,SpaceX,Lead Full Stack Software Engineer,Los Angeles,CA,computer_science
c308,nasdaq_SPA,Sparton,Software Engineer IV,De Leon Springs,FL,computer_science
c309,ru_SPB,Spectrum Brands,Sr AWS Full Stack Software Engineer,Lake Forest,CA,computer_science
c310,ru_SR,Spire,Java Programmer III,Birmingham,AL,computer_science
c311,f1000_859,Spirit Airlines,Manager Software Engineering - Mobile,Miramar,FL,computer_science
c312,ru_SPOK,Spok,Software Engineer - Front End,Eden Prairie,MN,computer_science
c313,glassdoor_38,Spreetail,Software Engineer II,Austin,TX,computer_science
c314,nasdaq_SQ,Square,Software Engineer - Caviar,San Francisco,CA,computer_science
c315,f1000_249,Stanley Black & Decker,Front-end / Web Developer,Marietta,GA,computer_science
c316,f1000_32,State Farm Insurance,Software Developer,Richardson,TX,computer_science
c317,f1000_270,State Street,CRD Software Engineer II,Burlington,MA,computer_science
c318,f1000_717,Steelcase,Software Developer,Portland,OR,computer_science
c319,nasdaq_SSYS,Stratasys,Software Engineer,Boston,MA,computer_science
c320,nasdaq_SPWR,SunPower,Software Developer - Analytics Tools,Richmond,CA,computer_science
c321,glassdoor_16,Sundance Vacations,Web/Software Developer,Wilkes-Barre,PA,computer_science
c322,ru_RUN,Sunrun,Sr Software Engineer,Denver,CO,computer_science
c323,f1000_883,Super Micro Computer,Senior Software Engineer,San Jose,CA,computer_science
c324,nasdaq_SPRT,Support.com,Full-Stack Application Developer,Sunnyvale,CA,computer_science
c325,nasdaq_SWCH,Switch,Design and Software Engineer,Weymouth,MA,computer_science
c326,nasdaq_SYNC,Synacor,Principal Software Engineer,Buffalo,NY,computer_science
c327,nasdaq_SYNA,Synaptics,Senior Software Engineer,San Jose,CA,computer_science
c328,f1000_56,Sysco,Software Engineer,Houston,TX,computer_science
c329,f1000_673,TD Ameritrade,UI Software Developer,Chicago,IL,computer_science
c330,ru_TPR,Tapestry,Software Engineer I,Maryland Heights,MO,computer_science
c331,ru_TISI,Team,Software Engineer,Ann Arbor,MI,computer_science
c332,ru_TTGT,Techtarget,Software Engineer,Newton,MA,computer_science
c333,ru_TDOC,Teladoc,Software Engineer,Lewisville,TX,computer_science
c334,f1000_972,Teleflex,Web Developer,Morrisville,NC,computer_science
c335,ru_TNAV,Telenav,Sr Software Engineer,Santa Clara,CA,computer_science
c336,nasdaq_TENB,Tenable,Sr Software Engineer - UI,Columbia,MD,computer_science
