list_id,company,raw_company,rank,source,job_type
nasdaq_UCTT,Ultra Clean Holdings,"Ultra Clean Holdings, Inc.",399.0,nasdaq_tech,data_science_b
nasdaq_PHUN,Phunware,"Phunware, Inc.",400.0,nasdaq_tech,data_science_b
nasdaq_GTYH,GTY Technology Holdings,"GTY Technology Holdings, Inc.",401.0,nasdaq_tech,data_science_b
nasdaq_CYOU,Changyou.com Limited,Changyou.com Limited,402.0,nasdaq_tech,data_science_b
nasdaq_CSLT,"Castlight Health, inc.","Castlight Health, inc.",403.0,nasdaq_tech,data_science_b
nasdaq_SLP,Simulations Plus,"Simulations Plus, Inc.",404.0,nasdaq_tech,data_science_b
nasdaq_MIXT,MiX Telematics Limited,MiX Telematics Limited,405.0,nasdaq_tech,data_science_b
nasdaq_MAXR,Maxar Technologies,Maxar Technologies Inc.,406.0,nasdaq_tech,data_science_b
nasdaq_KEYW,The KEYW Holding Corporation,The KEYW Holding Corporation,407.0,nasdaq_tech,data_science_b
nasdaq_DQ,DAQO New Energy,DAQO New Energy Corp.,408.0,nasdaq_tech,data_science_b
nasdaq_GFN,General Finance Corporation,General Finance Corporation,409.0,nasdaq_tech,data_science_b
nasdaq_AGYS,Agilysys,"Agilysys, Inc.",410.0,nasdaq_tech,data_science_b
nasdaq_ZIXI,Zix Corporation,Zix Corporation,411.0,nasdaq_tech,data_science_b
nasdaq_NPTN,NeoPhotonics Corporation,NeoPhotonics Corporation,412.0,nasdaq_tech,data_science_b
nasdaq_MTLS,Materialise NV,Materialise NV,413.0,nasdaq_tech,data_science_b
nasdaq_AAOI,Applied Optoelectronics,"Applied Optoelectronics, Inc.",414.0,nasdaq_tech,data_science_b
nasdaq_AMSWA,American Software,"American Software, Inc.",415.0,nasdaq_tech,data_science_b
nasdaq_DGII,Digi International,Digi International Inc.,416.0,nasdaq_tech,data_science_b
nasdaq_CCRN,Cross Country Healthcare,"Cross Country Healthcare, Inc.",417.0,nasdaq_tech,data_science_b
nasdaq_ECOM ,ChannelAdvisor Corporation,ChannelAdvisor Corporation,418.0,nasdaq_tech,data_science_b
nasdaq_AQ,Aquantia,Aquantia Corp.,419.0,nasdaq_tech,data_science_b
nasdaq_CRNT,Ceragon Networks,Ceragon Networks Ltd.,420.0,nasdaq_tech,data_science_b
nasdaq_PDFS,PDF Solutions,"PDF Solutions, Inc.",421.0,nasdaq_tech,data_science_b
nasdaq_OOMA,Ooma,"Ooma, Inc.",422.0,nasdaq_tech,data_science_b
nasdaq_IMMR,Immersion Corporation,Immersion Corporation,423.0,nasdaq_tech,data_science_b
nasdaq_SNCR,Synchronoss Technologies,"Synchronoss Technologies, Inc.",424.0,nasdaq_tech,data_science_b
