company,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7,job_type_8
eBay,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Mohawk Industries,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Oneok,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Frontier Communications,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Netflix,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
American Family Insurance,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Thrivent Financial for Lutherans,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Expedia,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Lithia Motors,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Avis Budget,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Reliance Steel & Aluminum,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
