cid,list_id,company,position,office,office_state,job_type
c148,nasdaq_INOV,Inovalon,Manager - Financial and Quantitative Analytics,Bowie,MD,stats
c149,bi_15,Instacart,Senior Data Scientist - Fulfillment,San Francisco,CA,stats
c150,f1000_46,Intel,Data Scientist,Albuquerque,NM,stats
c151,f1000_526,Intuit,Senior Data Scientist,Plano,TX,stats
c152,f1000_772,Intuitive Surgical,Machine Learning Scientist,Norcross,GA,stats
c153,glassdoor_112,John Deere,Student Researcher JDTIC - - IA,Ames,IA,stats
c154,f1000_34,Johnson & Johnson,Principal Statistician,Spring House,PA,stats
c155,f1000_566,KBR,Engineer/Scientist,Quantico,VA,stats
c156,f1000_732,KLA-Tencor,Machine Learning Research Position,Milpitas,CA,stats
c157,vault_111,KPMG,Manager - Data Scientist - NLP,New York,NY,data_science
c158,glassdoor_147,Kaiser Permanente,Data Consultant - SAS - Epidemiology - Bio-statistics,Oakland,CA,stats
c159,glassdoor_106,Keller Williams,Real Estate Sales Agent,Cincinnati,OH,stats
c160,f1000_802,Kemper,Senior Data Scientist,Chicago,IL,stats
c161,f1000_105,Kraft Heinz,Data Scientist - People Analytics,Chicago,IL,stats
c162,cnbc_25,LanzaTech,Synthetic Biology Research Associate,Skokie,IL,stats
c163,f1000_570,Laureate Education,Director - Institutional Research,Minneapolis,MN,stats
c164,glassdoor_73,Lawrence Livermore National Laboratory,Postdoctoral Research Staff Member-Applied Statistics,Livermore,CA,stats
c165,f1000_55,Lockheed Martin,Data Scientist,Rochester,NY,stats
c166,nasdaq_LOGM,LogMein,Senior Data Scientist - Customer Success,Boston,MA,stats
c167,cnbc_4,Lyft,Data Scientist,San Francisco,CA,stats
c168,f1000_454,M&T Bank,Market Research Manager,Buffalo,NY,stats
c169,glassdoor_117,MD Anderson Cancer Center,Statistical Analyst - Epigenetics and Molecular Carcinogenesis,Smithville,TX,stats
c170,f1000_296,MGM Resorts,Data Scientist,Las Vegas,NV,stats
c171,bi_11,Magic Leap,Artificial General Intelligence Principal Applied Research Engineer,San Francisco,CA,stats
c172,glassdoor_133,Massachusetts General Hospital,Biostatistician,Charlestown,MA,stats
c173,vault_56,McDermott Will & Emery,Associate - Employment,Menlo Park,CA,consultant
