list_id,company,rank,source,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5
hedge_23,Platinum Asset Management,24.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_24,Hillhouse Capital Management,25.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_25,ValueAct Capital Management,26.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_26,Pacific Investment Management Co,27.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_27,Anchorage Capital,28.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_28,York Capital Management,29.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_29,Appaloosa Management,30.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_31,Third Point,32.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_32,Egerton Capital,33.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_33,Brevan Howard Capital Management,34.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_34,Centerbridge Partners,35.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_35,BlueMountain Capital Management,36.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_36,Cevian Capital,37.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_37,Brummer & Partners,38.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_38,Wellington Alternative Investments,39.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_39,Moore Capital Management,40.0,hedge_fund_100,quant,data_science,stats,consultant,mba
